2021-10-11 09:44:45,352 MDT INFO   log.monitoring 1155 [localhost-startStop-1] **** Server Started (logVersion=1.4) ****
2021-10-11 09:44:45,354 MDT INFO   log.monitoring 1155 [localhost-startStop-1] ,max mem (MB),total mem (MB),free mem (MB),strings pool,integers pool,other objects pool
2021-10-11 10:07:35,820 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,240,167,0,
2021-10-11 10:07:45,824 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,239,167,0,
2021-10-11 10:07:55,829 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,237,167,0,
2021-10-11 10:08:05,833 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,236,167,0,
2021-10-11 10:08:15,837 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,234,167,0,
2021-10-11 10:08:25,840 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,233,167,0,
2021-10-11 10:08:35,843 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,230,167,0,
2021-10-11 10:08:45,848 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,228,167,0,
2021-10-11 10:08:55,853 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,227,167,0,
2021-10-11 10:09:05,858 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,226,167,0,
2021-10-11 10:09:15,859 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,225,167,0,
2021-10-11 10:09:25,863 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,224,167,0,
2021-10-11 10:09:35,866 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,223,167,0,
2021-10-11 10:09:55,872 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,222,167,0,
2021-10-11 10:10:05,876 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,221,167,0,
2021-10-11 10:10:15,877 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,220,167,0,
2021-10-11 10:10:35,878 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,218,167,0,
2021-10-11 10:10:45,884 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,217,167,0,
2021-10-11 10:10:55,889 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,216,167,0,
2021-10-11 10:11:15,873 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,215,167,0,
2021-10-11 10:11:25,868 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,214,167,0,
2021-10-11 10:11:35,866 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,213,167,0,
2021-10-11 10:11:45,866 MDT INFO   log.monitoring 1155 [ebx-memorySupervisor] ,4096,1362,212,167,0,
